,Diam,StartNode,EndNode,Length
359,10.12,122,123,69.27364587871506
360,6.3,25,352,151.02437163556905
361,29.620001,255,253,66.4608460181999
362,21.74,232,231,156.10920938964068
363,28.75,256,255,262.8321196097633
364,22.84,231,230,144.48156752665432
365,7.24,194,338,415.71050527494884
366,14.55,190,283,111.72330675507226
367,18.18,167,232,131.74725281746373
368,37.779999,169,307,183.4744674890993
369,8.28,173,339,253.31126986932492
370,8.86,178,359,490.5885584395077
371,9.25,182,145,143.71466635165336
372,9.49,191,147,96.9303555499553
373,9.53,165,223,140.18747624863377
374,18.24,5,50,284.7530086086913
375,13.66,6,36,225.14638582932196
376,11.31,83,84,436.9589455745032
377,10.38,52,53,237.48086876225844
378,7.21,92,368,152.6348367831121
379,28.370001,210,209,390.1265890019054
380,12.88,312,311,435.7195950721301
381,13.19,218,217,126.4721453834412
382,6.95,18,21,368.68085937896944
383,10.71,227,226,49.99482294335773
384,6.79,124,286,228.16113204738093
385,16.389999,99,100,42.650502218457284
386,6.13,157,386,95.01679574509323
387,5.64,351,350,105.10135970899152
388,7.71,81,239,388.2377143885688
389,16.42,100,101,616.6135137005288
390,28.58,246,245,31.97003419101184
391,13.24,350,349,259.84002744533007
392,13.94,8,9,59.86333653424634
393,8.24,220,219,390.0422169800161
394,10.84,266,264,221.23570035387843
395,17.66,50,51,497.95530996160363
396,8.55,42,43,49.17019872640925
397,11.09,47,326,533.0945577722773
398,6.14,14,24,104.7328690023452
399,10.1,82,86,444.7037308464961
400,5.2,154,350,79.41106657796207
401,31.08,253,252,521.4692935470423
402,16.110001,36,37,352.3696883357781
403,11.47,295,294,67.4316992824837
404,7.59,76,78,188.02693432632628
405,47.099998,325,322,243.14734204709342
406,50.240002,322,319,357.7084557043639
407,14.62,101,102,388.85282775022495
408,15.09,53,54,458.92237316081616
409,14.02,223,385,358.78756929198727
410,6.43,65,231,327.3441277689211
411,9.37,104,111,80.21263411339244
412,9.39,386,218,90.87984166884473
413,13.63,9,10,136.33606684978338
414,12.33,311,207,75.44589220639764
415,44.639999,318,317,1293.2717941616136
416,9.27,226,210,162.30837308521572
417,8.46,123,125,133.83538197655827
418,48.259998,320,318,162.94567781507854
419,16.360001,51,73,1030.6390738860814
